Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0062061	TAP complex binding	 	4.283E-10	2.612E-8	1.539E-8	7.228E-8	3	8	HLA-H,HLA-E,HLA-G
GO: Molecular Function	GO:0042610	CD8 receptor binding	 	6.423E-10	3.918E-8	1.539E-8	7.228E-8	3	9	HLA-H,HLA-E,HLA-G
GO: Molecular Function	GO:0046979	TAP2 binding	 	9.176E-10	5.597E-8	1.539E-8	7.228E-8	3	10	HLA-H,HLA-E,HLA-G
GO: Molecular Function	GO:0046978	TAP1 binding	 	1.262E-9	7.696E-8	1.539E-8	7.228E-8	3	11	HLA-H,HLA-E,HLA-G
GO: Molecular Function	GO:0046977	TAP binding	 	1.262E-9	7.696E-8	1.539E-8	7.228E-8	3	11	HLA-H,HLA-E,HLA-G
GO: Molecular Function	GO:0030881	beta-2-microglobulin binding	 	1.682E-9	1.026E-7	1.710E-8	8.031E-8	3	12	HLA-H,HLA-E,HLA-G
GO: Molecular Function	GO:0042608	T cell receptor binding	 	7.404E-9	4.517E-7	6.452E-8	3.030E-7	3	19	HLA-H,HLA-E,HLA-G
GO: Molecular Function	GO:0042605	peptide antigen binding	 	5.449E-8	3.324E-6	4.155E-7	1.951E-6	3	36	HLA-H,HLA-E,HLA-G
GO: Molecular Function	GO:0071889	14-3-3 protein binding	 	8.132E-8	4.961E-6	5.342E-7	2.509E-6	3	41	HLA-H,HLA-E,HLA-G
GO: Molecular Function	GO:0042288	MHC class I protein binding	 	8.757E-8	5.342E-6	5.342E-7	2.509E-6	3	42	HLA-H,HLA-E,HLA-G
GO: Molecular Function	GO:0042287	MHC protein binding	 	5.565E-7	3.395E-5	3.086E-6	1.449E-5	3	77	HLA-H,HLA-E,HLA-G
GO: Molecular Function	GO:0046703	natural killer cell lectin-like receptor binding	 	3.947E-6	2.408E-4	2.007E-5	9.424E-5	2	13	HLA-E,HLA-G
GO: Molecular Function	GO:0003823	antigen binding	 	7.583E-6	4.625E-4	3.558E-5	1.671E-4	3	183	HLA-H,HLA-E,HLA-G
GO: Molecular Function	GO:0042803	protein homodimerization activity	 	1.074E-5	6.549E-4	4.678E-5	2.197E-4	4	768	STAT1,B2M,HLA-E,HLA-G
GO: Molecular Function	GO:0046983	protein dimerization activity	 	5.957E-5	3.634E-3	2.422E-4	1.138E-3	4	1183	STAT1,B2M,HLA-E,HLA-G
GO: Molecular Function	GO:0042277	peptide binding	 	1.553E-4	9.472E-3	5.920E-4	2.780E-3	3	503	HLA-H,HLA-E,HLA-G
GO: Molecular Function	GO:0033218	amide binding	 	2.593E-4	1.582E-2	9.303E-4	4.369E-3	3	598	HLA-H,HLA-E,HLA-G
GO: Molecular Function	GO:0005102	signaling receptor binding	 	4.221E-4	2.575E-2	1.430E-3	6.717E-3	4	1945	HLA-H,STAT1,HLA-E,HLA-G
GO: Molecular Function	GO:0044877	protein-containing complex binding	 	5.189E-3	3.165E-1	1.666E-2	7.824E-2	3	1668	HLA-H,HLA-E,HLA-G
GO: Molecular Function	GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	 	5.775E-3	3.523E-1	1.750E-2	8.220E-2	1	23	STAT1
GO: Molecular Function	GO:0031730	CCR5 chemokine receptor binding	 	6.026E-3	3.676E-1	1.750E-2	8.220E-2	1	24	STAT1
GO: Molecular Function	GO:0035035	histone acetyltransferase binding	 	8.278E-3	5.049E-1	2.295E-2	1.078E-1	1	33	STAT1
GO: Molecular Function	GO:0005164	tumor necrosis factor receptor binding	 	8.778E-3	5.354E-1	2.328E-2	1.093E-1	1	35	STAT1
GO: Molecular Function	GO:0051721	protein phosphatase 2A binding	 	1.053E-2	6.421E-1	2.675E-2	1.256E-1	1	42	STAT1
GO: Molecular Function	GO:0001046	core promoter sequence-specific DNA binding	 	1.302E-2	7.941E-1	3.166E-2	1.487E-1	1	52	STAT1
GO: Molecular Function	GO:0048020	CCR chemokine receptor binding	 	1.352E-2	8.245E-1	3.166E-2	1.487E-1	1	54	STAT1
GO: Molecular Function	GO:0032813	tumor necrosis factor receptor superfamily binding	 	1.401E-2	8.549E-1	3.166E-2	1.487E-1	1	56	STAT1
GO: Molecular Function	GO:1990841	promoter-specific chromatin binding	 	1.824E-2	1.000E0	3.973E-2	1.866E-1	1	73	STAT1
GO: Molecular Function	GO:0042379	chemokine receptor binding	 	1.948E-2	1.000E0	4.097E-2	1.924E-1	1	78	STAT1
GO: Biological Process	GO:0002480	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent	 	8.285E-14	6.082E-11	3.041E-11	2.182E-10	4	9	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002477	antigen processing and presentation of exogenous peptide antigen via MHC class Ib	 	8.285E-14	6.082E-11	3.041E-11	2.182E-10	4	9	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002428	antigen processing and presentation of peptide antigen via MHC class Ib	 	1.381E-13	1.014E-10	3.378E-11	2.425E-10	4	10	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0002475	antigen processing and presentation via MHC class Ib	 	1.565E-12	1.148E-9	2.461E-10	1.766E-9	4	17	HLA-H,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0060333	interferon-gamma-mediated signaling pathway	 	1.844E-12	1.354E-9	2.461E-10	1.766E-9	5	95	HLA-H,STAT1,B2M,HLA-E,HLA-G
GO: Biological Process	GO:0019885	antigen processing and presentation of endogenous peptide antigen via MHC class I	 	2.011E-12	1.476E-9	2.461E-10	1.766E-9	4	18	HLA-H,B2M,HLA-E,HLA-G
