Expr,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test
Groups,ADD vs Ctrl,ADD vs Ctrl,ADD vs Ctrl,AsymAD vs ADD,AsymAD vs ADD,AsymAD vs ADD,AsymAD vs Ctrl,AsymAD vs Ctrl,AsymAD vs Ctrl
Stat,Q-value,P-value,t-statistic,Q-value,P-value,t-statistic,Q-value,P-value,t-statistic
ANM5,0.7344656516572264,0.3648923648973992,-0.9222213075646796,0.3605133453449587,0.0556727458377662,1.99661336927852,0.8177432784257176,0.4873573061637785,0.7063945035299843
A4,0.041499624396727,0.0004814139223842,3.988755049512304,0.9575560538199928,0.8154240796894243,-0.2356439031634404,0.1030309158644138,0.0036892255529814,3.2480365619896663
IF5,0.6918327584181607,0.3049259739598984,-1.0465799516624004,0.8767763893692226,0.6088765093164028,-0.5174931227479235,0.5958646768774066,0.2016421390471639,-1.3162435769890353
KHDR2,,,,,,,,,
BRI3B,,,,,,,,,
TICN3,,,,,,,,,
AL1A1,0.8221702507879184,0.4937617216973687,-0.6941217813254721,0.242270805354735,0.0218864338717787,2.427498241269672,0.5036784422128281,0.1244239984362758,1.597479228329943
FRIL,0.991844033230734,0.956661229107179,-0.0548703413574968,0.5263157273046942,0.1384116656747137,-1.525258930866373,0.547035844407516,0.1595172913786341,-1.4559961514362407
CO4A,0.1045935295770887,0.0038278541981723,3.175520485619675,0.4360041863885884,0.0848504685182539,-1.7865082308700535,0.4129073677002202,0.0749063462108237,1.869610949438813
CO4B,,,,,,,,,
JMJD7,,,,,,,,,
CAPG,0.3868698778226714,0.0637608243246316,1.9363887315599115,0.6269519525702744,0.2280777257562802,-1.2323198727063438,0.7253779115109293,0.352093767059759,0.9506824489853056
PDK2,0.9676059212463376,0.8480616712533711,-0.1935122323390175,0.653872499753559,0.2609518090530343,-1.1473368789271154,0.578074397304056,0.184686479059555,-1.3694187147548331
SERC,0.3920090603717571,0.066061863166012,1.918717433952696,0.7213457067307198,0.3462934331525494,-0.9579370449576716,0.8332062343763051,0.5186935447681376,0.6558941509951053
AL1L1,0.2365904611090912,0.0205456587042329,2.466679377440188,0.1349648532158593,0.0066635343496196,-2.930669357303449,0.92925431993288,0.73209798795899,-0.3467175091314636
EGFR,0.9780719061818164,0.8825536704081174,0.1491915845696441,0.6329542026181855,0.2370867909144995,-1.2081713990355274,0.7567554596427173,0.3904476425678856,-0.8760885480884112
HSPB1,0.0725735181726269,0.0017138405008619,3.495929482521222,0.0249120014798638,0.0001523422225376,-4.375745794474639,0.5256488202802102,0.1376513602069096,-1.5407000802693511
K2C8,,,,,,,,,
K2C7,,,,,,,,,
CLUS,0.1154077594538094,0.0046659665357808,3.095137652164525,0.0542057584743232,0.0010206526072553,-3.666141844822796,0.9144725975399722,0.6932786551843759,-0.3996351892506359
GFAP,0.0157583631264285,4.905095400909954e-05,4.856722216895927,0.2328859460629804,0.0200062824910455,-2.467002468584548,0.331536703747481,0.0470578803044149,2.103741414874244
FAAA,,,,,,,,,
MK01,0.7553779996859356,0.3893633630923176,0.8754161588560118,0.3461754963061876,0.0511901451016568,-2.037126180469784,0.8255010605001634,0.5014449443913579,-0.6834708395730289
PRDX1,0.8035918123204129,0.4639027705102828,0.7434032642287886,0.9864430361705332,0.9246142092447552,-0.0954792872956575,0.8483282946975456,0.5481409085174793,0.6099547646942718
PA1B3,0.2737274597929574,0.029401328938608,2.305053570137217,0.0795834140377992,0.0021569712985612,-3.378842491016118,0.8939324537083457,0.6469074604885162,-0.4644236757256183
KS6A2,0.6588632977043365,0.2671948091580395,1.133872920070209,0.2605706711586209,0.0269011511396449,-2.335621878780868,0.6894324263650755,0.2999568588705381,-1.0615459721374831
AL1L2,,,,,,,,,
PLCD3,0.8439700902972291,0.5406329337125679,0.6200326996820108,0.9575560538199928,0.8154854226894301,-0.2355640717967126,0.9232722190626688,0.7139149923365393,0.3713693028716914
WIPF2,0.8491573518603309,0.549831485125192,-0.605904820214175,0.910910698453526,0.6856607730199143,0.408986955508204,0.9651403357964128,0.8361826052729635,-0.2092447477251057
PBIP1,0.1451054617724169,0.0081073229301076,2.867037492803333,0.1164220965573536,0.004764783568771,-3.0662742463760737,0.9172457467913632,0.7000114937756372,0.3903777792716894
CMBL,0.9342149403173328,0.7499009760753461,-0.3221688419164579,0.9862014292858896,0.9219989849721336,-0.0988025738573342,0.7785768631983341,0.4265422948605116,-0.8101297059211436
ICAM1,,,,,,,,,
IRGQ,0.3212702043878502,0.0442104027551529,-2.114578890105005,0.3058210132799432,0.0395773340126024,2.15889475157069,0.9872303628992471,0.9295575009457808,0.0894196215042825
