Expr,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test
Groups,ADD vs Ctrl,ADD vs Ctrl,ADD vs Ctrl,AsymAD vs ADD,AsymAD vs ADD,AsymAD vs ADD,AsymAD vs Ctrl,AsymAD vs Ctrl,AsymAD vs Ctrl
Stat,Q-value,P-value,t-statistic,Q-value,P-value,t-statistic,Q-value,P-value,t-statistic
ANM5,0.9932096129559356,0.9548958890140152,-0.0570345157464156,0.993447298305449,0.95549289484645,0.0562787673962482,0.999817483440951,0.999693866046856,0.0003876984315368
A4,0.1314515044215122,0.0014952446101358,3.495325892369299,0.7087715822320667,0.2727999425678071,-1.1171444104039072,0.3790395207170582,0.0345390859011463,2.2410639892869715
IF5,0.9309403630229524,0.7406588354348966,0.3340593516082225,0.7892511872422645,0.3919484024299443,-0.86862507665516,0.9077164329848312,0.6648104165516617,-0.4386894582297357
KHDR2,,,,,,,,,
BRI3B,,,,,,,,,
TICN3,,,,,,,,,
AL1A1,0.980831423935946,0.9066142093651252,0.1183054854769394,0.705947639878822,0.2679896712318551,1.1286521691491775,0.7113127647162479,0.278194380356397,1.1095333387220545
FRIL,0.7490311345559918,0.3277286583904887,-0.9949285948234716,0.8390748687066412,0.4832357490647297,-0.7099201216174089,0.7062386060545334,0.2705152326356261,-1.127892240324334
CO4A,0.4434181957531015,0.0541898721437025,2.003840648582651,0.7113127647162479,0.27863261189493,-1.1033846696263274,0.7435533868787778,0.320725794164752,1.0139381107691845
CO4B,,,,,,,,,
JMJD7,,,,,,,,,
CAPG,0.683321640547704,0.2357155510791412,1.2100306981344149,0.5985366250059913,0.140679787850691,-1.5132546568359255,0.9488016784716592,0.7982932025222108,-0.258410665889509
PDK2,0.4151826116092459,0.0456440566395575,-2.0853609290615944,0.3624869696447285,0.0308074207931648,2.2663011894940746,0.9407430690345324,0.7808563380810069,0.2813462513472459
SERC,0.9949934844132954,0.9755346640415772,0.0309243867672724,0.9559677945003072,0.8189420931320794,-0.2309232434925943,0.9675811238972656,0.8671874785126086,-0.1690327302884179
AL1L1,0.3899603757523256,0.0389284763513235,2.159528428441979,0.5038190242982431,0.075289077447222,-1.842607488243286,0.9669462447905148,0.8645657653127095,0.1724037113317478
EGFR,0.6601696495714866,0.209282267742494,1.28309706912719,0.3616164738485058,0.0299430266253179,-2.279117263178608,0.7512708509596994,0.3303065215149222,-0.9936500484756896
HSPB1,0.2617774934147535,0.011589064613904,2.6889260146861127,0.131329986411669,0.0014451494548267,-3.508159050411234,0.7892511872422645,0.3931907544692916,-0.8694926334242111
K2C8,,,,,,,,,
K2C7,,,,,,,,,
CLUS,0.2968564790609614,0.0173226298824219,2.519220472863738,0.2525611828650831,0.0102727932904557,-2.7388950850531595,0.9922241407269772,0.9530704692708332,0.0594696419881186
GFAP,0.0443645246464922,9.324887722432836e-05,4.507365415971547,0.3091542573125007,0.0195091427722235,-2.468026346332856,0.4680076494396419,0.0604073980002971,1.970620900915376
FAAA,,,,,,,,,
MK01,0.7785330381837061,0.3716407315620819,0.9069887423404702,0.3414463181841405,0.0262348699260304,-2.3381977133873257,0.6571823525733052,0.205451233884528,-1.3014750648010809
PRDX1,0.2679821689868091,0.0133527218226612,2.6296842778366605,0.5538477360048983,0.1051817658881706,-1.6707061276074433,0.7418606807482304,0.3178382545239508,1.0201350435973584
PA1B3,0.5284841829454405,0.0899159512998921,1.7524324880208222,0.1550424313136009,0.0021286677591213,-3.3614259012506578,0.8224690316141328,0.4536392618732253,-0.7617347169575958
KS6A2,0.072842425300295,0.0002468436913021,4.158116616456536,0.1584233770915382,0.0024745890985194,-3.303814648919247,0.9559677945003072,0.8155473092624663,-0.2358536792178288
AL1L2,,,,,,,,,
PLCD3,0.7445745515380354,0.3218388516539282,1.0073163838931811,0.90026958672569,0.632125492459841,-0.4836790969670999,0.8870059986677351,0.5924223634247434,0.54257994747742
WIPF2,0.4746895846969179,0.0627995277511029,-1.9324099364996845,0.7785330381837061,0.3712818522851477,0.9076787659673666,0.6880821777766342,0.2417815960980705,-1.2001830376966822
PBIP1,0.0953938383756261,0.0005784710219827,3.848222512017189,0.0714474469183184,0.0002296777472646,-4.184129959379141,0.9589035696515458,0.8344230184443989,0.211318321925038
CMBL,0.4052401526658968,0.0431895414933238,2.1112703850618075,0.7603988343456604,0.3420290503646775,-0.9654685861767416,0.7113127647162479,0.2779787915504946,1.1100437081867112
ICAM1,,,,,,,,,
IRGQ,0.6731207995561914,0.224456824481089,-1.2403575710616028,0.7637590164956973,0.3452111751469918,0.959026641443156,0.8925762111560884,0.6071901970549949,-0.5209283007858861
