Expr,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test
Groups,ADD vs Ctrl,ADD vs Ctrl,ADD vs Ctrl,AsymAD vs ADD,AsymAD vs ADD,AsymAD vs ADD,AsymAD vs Ctrl,AsymAD vs Ctrl,AsymAD vs Ctrl
Stat,Q-value,P-value,t-statistic,Q-value,P-value,t-statistic,Q-value,P-value,t-statistic
ANM5,0.9623866857241656,0.897899926993345,-0.128561976599753,0.322618256848122,0.1039568305757323,-1.6370127832646977,0.2925757547161245,0.0898961870920559,-1.715503408463198
A4,7.56419597455345e-10,5.459167929818279e-13,8.003903978904958,0.0028612763888383,0.0002132009565499,-3.806218799111442,0.0135184197603627,0.0014696208421007,3.28778074348868
IF5,0.0123864952510755,0.0013197310399822,3.2818422219670915,0.0401946636809685,0.0057754170887928,-2.804986586286064,0.8462924713613921,0.644880366565705,0.4625339098960532
KHDR2,,,,,,,,,
BRI3B,0.0524742262305291,0.008189943714396,-2.685045652683664,0.3169822587590939,0.1010987984064519,1.6509958474482682,0.6186721684982547,0.324127921146834,-0.9918321449123702
TICN3,,,,,,,,,
AL1A1,0.8614648530663636,0.6745608413054471,-0.420833774508544,0.1332931415318023,0.0281149105397472,2.2195962540081093,0.258854704948072,0.0733461722005447,1.8131003439748303
FRIL,0.1607181203197523,0.0364612758261771,2.113253633519032,0.1433259035586471,0.0310073681793544,-2.1797874101447845,0.9927161132067204,0.9840363762218582,0.0200677287090453
CO4A,3.131756664489282e-09,5.118623512195267e-12,7.591093824095669,1.7561687195138052e-08,3.844563865975764e-11,-7.19779948430123,0.8172386552503793,0.595057690960805,0.5335321484375015
CO4B,0.2656873278469261,0.0769679167021735,1.8011611205128242,0.0689046842601477,0.0117502401831222,-2.597641795309884,0.8227601595249356,0.6038922062251268,-0.5271442622022167
JMJD7,,,,,,,,,
CAPG,9.10744725688583e-06,1.430525992841089e-07,5.561012754556082,4.434376752845119e-05,1.0842332512372776e-06,-5.108586215545247,0.945624421564674,0.8554874809783233,0.1826757016471172
PDK2,0.4888268109267303,0.2080946126946991,-1.2650150510021214,0.088933763465493,0.0164806842695648,2.4284330041860804,0.6589497639194039,0.3679695274136031,0.9051023332225012
SERC,0.0008547830366236,4.775250328399186e-05,4.205473263314718,4.463218841565786e-07,2.486472892237206e-09,-6.390419981991631,0.385258583063545,0.1377797253884018,-1.4982240813106955
AL1L1,0.4196307704029599,0.1592264315694598,1.415672941837605,0.1990007609241198,0.0498733723795438,-1.9788022469546316,0.7861683269770996,0.5427640666110842,-0.6111001839186612
EGFR,0.3172692346671729,0.1012639734603906,1.6503646633218627,0.8684330882630308,0.6869107179054545,0.4039330287835845,0.3384543558093274,0.112180191069415,1.6053037432518942
HSPB1,2.093736174355293e-08,4.8601118253372625e-11,7.167610427040771,1.524777331555572e-08,3.0674876679390953e-11,-7.240374933267309,0.8614648530663636,0.6743893478156682,-0.4215889544434743
K2C8,1.0,,,1.0,,,1.0,,
K2C7,1.0,,,1.0,,,1.0,,
CLUS,1.3382749359268234e-05,2.278091039182151e-07,5.460239064130892,6.253840680715562e-05,1.669432865093523e-06,-5.010632330072472,0.8063137231505768,0.5723554701472757,0.5667827287846189
GFAP,6.586995345966811e-06,8.766350971110273e-08,5.665971391090994,8.23207118379599e-06,1.2293328214737126e-07,-5.586527730703556,0.9841198353072924,0.96397959667404,0.0452935159972187
FAAA,0.0233637538364424,0.0028852175118355,3.03732010993298,0.0002595403528702,1.040249944187549e-05,-4.585223683113525,0.42932933328534,0.1656990648736673,-1.398316438148668
MK01,0.012320827181387,0.0013108277138971,3.2839080581853186,0.0070777643997246,0.0006500546535494,-3.491266488088307,0.9332961838251104,0.8274301821624972,-0.2186714411958223
PRDX1,6.744178658579985e-08,2.1917015139303572e-10,6.878554606518304,7.096487195667348e-08,2.361102982154874e-10,-6.851603487806646,0.9542551313845908,0.876653603754971,-0.155680995912646
PA1B3,5.026082276377263e-10,9.828939783862261e-14,8.315548481767264,2.9020479772895722e-08,7.410057509328061e-11,-7.073479119042392,0.5993841027368693,0.3046544545712236,1.0327413379083057
KS6A2,9.33799726997823e-05,2.796196954102116e-06,4.896875743963633,0.002696999281253,0.0001976213493768,-3.826985185844164,0.5367291965833281,0.2472902249075826,1.164969827621045
AL1L2,1.0,,,1.0,,,1.0,,
PLCD3,0.0035585115369256,0.0002780947579924,3.735926885678703,7.39902986676026e-05,2.101186959823375e-06,-4.957943300077161,0.6299213510456855,0.3375762362536689,-0.9644751253320524
WIPF2,0.4547485243238027,0.1832505659763513,-1.338230362022415,0.2914981879967006,0.0894748771110268,1.71125732703151,0.872599324839241,0.6981158256404396,0.3892630390644193
PBIP1,8.67421361182073e-10,1.0738735514479397e-12,7.879889619990391,4.1005226534402e-08,1.1104788987187169e-10,-6.996374246731981,0.6725168541470414,0.3840495780529518,0.8749817030243482
CMBL,0.0101639957812666,0.0010208036617211,3.3595834834343736,0.0305489780504142,0.0040467231834036,-2.924595808268988,0.6741875066461609,0.3860250347556168,0.8713361766356258
ICAM1,0.0001241310215704,4.062784132179118e-06,4.972959548624496,0.0002994238143249,1.260341651135516e-05,-4.649060367362509,0.6833786525717287,0.3983245797107539,0.8564436256910487
IRGQ,0.1641688669573157,0.03764097879676,-2.099899748899545,0.621777342422658,0.3279197126240202,0.9818711295467468,0.6366373255658265,0.3444831658922022,-0.9506385392034862
