Expr,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test,Two-sided Student's t-test
Groups,ADD vs Ctrl,ADD vs Ctrl,ADD vs Ctrl,AsymAD vs ADD,AsymAD vs ADD,AsymAD vs ADD,AsymAD vs Ctrl,AsymAD vs Ctrl,AsymAD vs Ctrl
Stat,Q-value,P-value,t-statistic,Q-value,P-value,t-statistic,Q-value,P-value,t-statistic
ANM5,0.990191169652622,0.959056679029169,-0.051391480785827,0.8624323432664588,0.6000263889565027,-0.525034472919805,0.8617773055870813,0.5984564622132509,-0.5276422643707905
A4,1.0680838603770135e-24,1.2553877061318916e-28,12.72054438453306,0.2077181461544925,0.0239180234895805,-2.272358444500941,6.548312270259851e-11,3.0786611519792433e-14,8.324244323130518
IF5,0.7139082420850209,0.3422597978755646,0.9516107948675832,0.3990127934422184,0.0848647115580653,-1.730026056600923,0.8095853240866572,0.4936092770901195,-0.6861059276841665
KHDR2,0.9004162350706539,0.6896347351275746,0.3998376100621899,0.7665411707175501,0.418435201399472,-0.8104853812866255,0.9172247785021816,0.7364088828383752,-0.3371811319745909
BRI3B,0.9917071204483552,0.9662226500299168,-0.0423908673984458,0.8994272708002662,0.6865104287027247,-0.4040667923441463,0.9057811693492246,0.7052919608012989,-0.3788423669964183
TICN3,1.2236624127586355e-10,7.191245961204957e-14,7.956271250994921,0.0056497914103367,5.710884594369555e-05,-4.095008589400277,0.0592917960284831,0.0024558081013932,3.076087163143158
AL1A1,0.8337325471884386,0.5393932720871994,-0.6146193393044141,0.5864734645010017,0.1997661760639886,1.2856311693806446,0.7779019122896034,0.4385374790759717,0.776547639536125
FRIL,0.6774104590353728,0.2898979174127635,-1.060707810964455,0.175959983336682,0.0172209700037232,2.3980184495306665,0.6021655478258514,0.2134851920653553,1.2488600648105483
CO4A,0.0081669992242962,0.0001039913316054,3.947564818882378,0.2016072617412481,0.0224480723918478,-2.297019267721611,0.5117025910413949,0.1453437520701117,1.4630947505530325
CO4B,0.0025164676525243,1.705645290262908e-05,4.39232612898136,0.6768641557191293,0.2892615400221586,-1.062062797974438,0.060440131705032,0.0025432025329573,3.06622218781555
JMJD7,0.7285617250208576,0.3626958160600375,0.9120850778609074,0.9196451021805544,0.7456232617633044,-0.3247943080909545,0.8565545798047559,0.5852653138926087,0.5468253747327021
CAPG,0.074120700341028,0.0036851264979142,2.932966879787369,0.6408046280276007,0.251799717648231,-1.1486569108503917,0.5463535749238109,0.170497331824689,1.3766120625759104
PDK2,0.5758681686902247,0.1918267851320323,-1.30891134767298,0.5432073048860131,0.1677749248586897,1.383420774375021,0.9951050033899822,0.9817493711401122,0.0229104706804897
SERC,0.5067836120270839,0.142019953020429,1.4731942781115317,0.1730029851493265,0.016633208817138,-2.411013944647556,0.7777592902637208,0.4381909866464499,-0.7771364970291641
AL1L1,0.0099086621325346,0.0001430068059518,3.86558004954757,0.8580411144356229,0.58997890449558,-0.5395654640090021,0.1298957477619581,0.0096541385952215,2.618494871950109
EGFR,0.6946068495759632,0.3143946183530313,1.008174408406486,0.7315244299012074,0.3681983368962863,-0.9014912248953482,0.978444887159306,0.9232434830882592,0.0964963435648944
HSPB1,5.9516964602385256e-05,1.329128264510249e-07,5.438758066498632,0.0459153902295219,0.0015794433717881,-3.1948741218006536,0.3217970767212564,0.0553212155689984,1.9300065744488764
K2C8,,,,,,,,,
K2C7,,,,,,,,,
CLUS,0.0033552788588689,2.6159712149934148e-05,4.28849576164504,0.6877186508081872,0.3058413296061046,-1.0260976472024546,0.2035989568214806,0.0228933163327711,2.296695449144552
GFAP,4.812312945701864e-07,4.524976911802411e-10,6.505509104600034,0.0143238803689649,0.0002609545671355,-3.704485774626933,0.1426607534751241,0.0114983484654409,2.5557623005163475
FAAA,0.0033526140245392,2.6007584111376407e-05,4.289891846725909,0.2134347488343765,0.0252536021579618,-2.2510732077219906,0.3631261840131533,0.0703302745403539,1.8215767614892229
MK01,0.0084146152081341,0.000108113589401,3.937632002553423,0.0579839445267539,0.0023602210614487,-3.0722861813371702,0.7822988257808635,0.4454145224559419,0.7649154687434321
PRDX1,0.0039014796913256,3.316960872189546e-05,4.231365514530902,0.0207254539827835,0.0004403992247492,-3.5623020611735523,0.7887934001290923,0.4568882265843612,0.7457355673230813
PA1B3,1.255253215520136e-05,1.9671731946718947e-08,5.812485379639496,0.0111872196439869,0.0001709377707708,-3.816359058715985,0.1743255277506813,0.0169582689007618,2.4120878686759366
KS6A2,8.515904694905962e-06,1.1677506046141228e-08,5.911580735188126,0.0260272959357364,0.0006046930923793,-3.473955011485255,0.2499059619170457,0.0334363289432185,2.144748444351706
AL1L2,0.6025992201718576,0.2138750327353415,1.2488233578934815,0.8328803411414546,0.5375943194062572,0.6179993722554237,0.4081217194831305,0.0888069279897079,1.720342195616274
PLCD3,4.660139114375522e-05,9.859250594588552e-08,5.498377710327659,0.6612592104656616,0.2720957212328135,-1.1006872209778444,0.002613747798147,1.7946192869432546e-05,4.418393589103319
WIPF2,0.6817354813243739,0.2957659658646691,-1.0478602189697537,0.883551840065962,0.6479823886727029,0.4571213383280397,0.8561717158893387,0.5847427009108552,-0.5475472588894486
PBIP1,2.7812059618181645e-08,2.2882512614865013e-11,7.020936164235098,0.0102843540200875,0.0001510982901399,-3.8485011335458417,0.1449477434513197,0.0118579806006415,2.544592757024893
CMBL,0.0029882382286115,2.165899045185483e-05,4.333512817488413,0.2797153412391807,0.0419945614961816,-2.0441122937802265,0.1815104937524674,0.0180980130117264,2.387421259130832
ICAM1,7.026491093653053e-11,3.8540540397720876e-14,8.053704741906165,0.0937219073847314,0.0054050559344273,-2.8064544712173265,0.0126964142290462,0.0002138950837834,3.78616516535622
IRGQ,7.16784659303264e-05,1.7972973748397153e-07,-5.378044835360801,0.1703721740435812,0.0161766307046231,2.42139197368591,0.1571656941463801,0.0136585446666852,-2.492852856828362
