,moduleLabels,moduleColors
Library Peptides,1,turquoise
NUDT4,0,grey
LV321,7,black
KV230,7,black
PAL4A,0,grey
QCR6L,1,turquoise
HVC33,7,black
HV374,7,black
HV372,7,black
PAL4C,0,grey
GAL3A,1,turquoise
HV108,7,black
KVD20,7,black
HV311,7,black
HV64D,7,black
UB2L5,3,brown
UBA6,3,brown
ESYT2,0,grey
UH1BL,0,grey
IGLC7,7,black
SHOT1,3,brown
ILVBL,0,grey
SPD2B,4,yellow
MACD2,1,turquoise
PIPSL,1,turquoise
NBAS,0,grey
SYTC2,4,yellow
VWA8,3,brown
WDR91,0,grey
PI4P2,1,turquoise
POTEF,0,grey
PSD1,0,grey
CRNS1,3,brown
MLP3B,0,grey
PGP,1,turquoise
PSAL,1,turquoise
RFOX3,0,grey
WIPF3,1,turquoise
DDTL,0,grey
TBAL3,0,grey
RP1BL,3,brown
PC4L1,1,turquoise
SHSA7,1,turquoise
AXA2L,5,green
TBB8L,3,brown
RHG32,1,turquoise
LYRM9,0,grey
GNAT3,4,yellow
F1712,0,grey
RUXG,1,turquoise
SNG2L,3,brown
HGB1A,1,turquoise
HNRC1,0,grey
EIFCL,0,grey
IGLC1,7,black
AK1BF,1,turquoise
NACA,0,grey
NDUCR,1,turquoise
CRCC2,0,grey
KIF2A,1,turquoise
KITM,1,turquoise
DX39A,1,turquoise
PDLI1,6,red
BACH,1,turquoise
MYO1C,0,grey
SNP23,1,turquoise
HAX1,1,turquoise
PLM,1,turquoise
AIP,3,brown
GTPB1,0,grey
LEG9,1,turquoise
STXB3,4,yellow
ARVC,0,grey
SMAP,0,grey
RB27B,0,grey
AP3B1,1,turquoise
APBB1,1,turquoise
NDUS8,1,turquoise
PSD11,0,grey
PSD12,0,grey
PSMD9,1,turquoise
SIRB1,1,turquoise
ATOX1,0,grey
PGRC1,0,grey
SPT5H,0,grey
DFFA,1,turquoise
HIP1,0,grey
CLIC1,5,green
EIF3F,0,grey
CACB4,1,turquoise
ODPX,1,turquoise
DCTN6,0,grey
WASL,1,turquoise
PDE2A,1,turquoise
IPO5,1,turquoise
EMAL1,0,grey
DNM1L,1,turquoise
RTCA,0,grey
SYT5,1,turquoise
GFRA2,1,turquoise
AGRIN,6,red
EXOC5,0,grey
BT3A3,0,grey
NDUA4,1,turquoise
PSDE,0,grey
BIN1,3,brown
IMA4,0,grey
USP9Y,0,grey
FAAH1,0,grey
NCHL1,1,turquoise
VMA5A,5,green
CAC1A,0,grey
DDX3X,0,grey
RNT2,0,grey
PODXL,4,yellow
S17A4,1,turquoise
PIR,1,turquoise
IMA3,0,grey
NET3,0,grey
PPP6,0,grey
UB2E2,1,turquoise
PDXK,1,turquoise
DLGP1,1,turquoise
PLPP3,0,grey
DHSD,1,turquoise
C2C2L,4,yellow
ASTN1,1,turquoise
DPYL4,1,turquoise
COX7R,1,turquoise
DC1I1,5,green
CTRO,1,turquoise
COPE,0,grey
NCAN,1,turquoise
IF1AY,0,grey
AP3D1,1,turquoise
ABLM1,0,grey
ADA10,3,brown
CDIPT,1,turquoise
PDCD5,0,grey
ANM5,0,grey
NHRF1,1,turquoise
TPP1,0,grey
GNB5,1,turquoise
TCRG1,0,grey
KIF3C,0,grey
TNPO2,1,turquoise
UN13B,1,turquoise
RASM,0,grey
CPLX1,1,turquoise
PSA7,0,grey
RGRF2,1,turquoise
SCAM3,1,turquoise
IFIT3,0,grey
MGST3,1,turquoise
TX1B3,4,yellow
GIPC1,1,turquoise
LIN7A,1,turquoise
CSKP,1,turquoise
PLD2,0,grey
QCR8,1,turquoise
ML12A,0,grey
QCR10,0,grey
HGS,5,green
DSCR3,0,grey
MYPT1,0,grey
GAK,0,grey
HNRDL,0,grey
XPO1,0,grey
AT2A1,1,turquoise
PI51B,1,turquoise
SYN3,1,turquoise
SPTN2,1,turquoise
PLXB2,5,green
RIMB2,1,turquoise
SR140,0,grey
N4BP3,1,turquoise
SYNJ2,1,turquoise
SYNEM,5,green
KIF3B,0,grey
PUR4,0,grey
DCLK1,1,turquoise
SNPH,1,turquoise
ARHGB,1,turquoise
NPC1,0,grey
SCAM1,1,turquoise
IMA6,0,grey
ARC1B,0,grey
ARPC2,1,turquoise
ARPC3,1,turquoise
PGRC2,1,turquoise
EPHB6,0,grey
PFD6,0,grey
LAMA5,6,red
VGF,1,turquoise
SURF4,0,grey
MK14,0,grey
SPTC1,0,grey
OGT1,1,turquoise
EIF3D,4,yellow
EIF3H,0,grey
BCAT2,1,turquoise
NCAM2,1,turquoise
STX7,1,turquoise
CAN5,0,grey
GLYG2,0,grey
YKT6,0,grey
ARPC5,1,turquoise
DDX3Y,0,grey
PDPK1,1,turquoise
FABP7,1,turquoise
DHX15,1,turquoise
ASAP2,0,grey
PLXB1,1,turquoise
PJA2,0,grey
SI1L1,1,turquoise
CYB5B,1,turquoise
SERA,4,yellow
NDUS4,1,turquoise
SEPT4,1,turquoise
DC1L2,3,brown
PSMD3,0,grey
ZW10,0,grey
PROD,0,grey
TGFI1,5,green
SRGP3,0,grey
HS12A,5,green
ADCY6,0,grey
RIPK2,1,turquoise
HNRPR,0,grey
TXNL1,3,brown
TPD54,0,grey
ERI3,0,grey
AN32C,1,turquoise
SYNJ1,1,turquoise
IF4G3,0,grey
PPIH,0,grey
ARK72,1,turquoise
E41L2,4,yellow
B4GA1,1,turquoise
KCNQ2,0,grey
RGS14,0,grey
AKA10,0,grey
SYT7,1,turquoise
DENR,0,grey
XPOT,1,turquoise
DNPH1,3,brown
DCX,1,turquoise
TIM44,1,turquoise
TPPC3,5,green
CHM2A,0,grey
NCK2,1,turquoise
NDUB5,1,turquoise
NDUB3,1,turquoise
NDUA2,1,turquoise
ASNA,0,grey
BUB3,0,grey
ACTN4,1,turquoise
CYH3,5,green
AAKB2,0,grey
AP1G1,1,turquoise
STX6,0,grey
SNG1,1,turquoise
SNG2,3,brown
SNG3,1,turquoise
SGTA,3,brown
ENSA,1,turquoise
SYNC,0,grey
KRT86,0,grey
CPSF5,0,grey
LANC1,3,brown
STRN,1,turquoise
SCO2,0,grey
CF410,0,grey
IDH3B,1,turquoise
NRDC,0,grey
CALU,0,grey
EDIL3,3,brown
SAHH2,0,grey
CD5L,0,grey
KIF1C,0,grey
NDUS5,1,turquoise
PEX1,0,grey
KALRN,0,grey
GMFG,0,grey
MYPT2,0,grey
PCDH7,1,turquoise
KPRB,4,yellow
GBG7,1,turquoise
K0513,1,turquoise
JIP4,0,grey
KIF5C,5,green
MAST3,0,grey
OPA1,1,turquoise
PI51C,1,turquoise
KIF1B,0,grey
CCG3,1,turquoise
NDK8,0,grey
GSDME,0,grey
PLXC1,1,turquoise
SNX3,4,yellow
OGA,0,grey
ADCY9,0,grey
HNRPQ,0,grey
