,A4,A4,A4,A4,APOE,APOE,APOE,APOE,TAU,TAU,TAU,TAU
,CAUD,HIPP,IPL,SMTG,CAUD,HIPP,IPL,SMTG,CAUD,HIPP,IPL,SMTG
,Q-value,Q-value,Q-value,Q-value,Q-value,Q-value,Q-value,Q-value,Q-value,Q-value,Q-value,Q-value
ANM5,0.9609937329747462,0.8794429991638735,0.8611983970627457,0.5287180066610758,0.3419704392475462,0.9920798242347172,0.9099551324269828,0.6697872005828323,0.9356159445672502,0.874538896134072,0.5085132602931252,0.8272784326566092
A4,0.0,0.0,0.0,0.0,0.7025021726238481,0.4044005804117121,0.0411480854839107,0.113856272945291,0.8607268855188792,0.0169459942431799,0.338916043813638,0.7975443498109186
IF5,0.9882739698142168,0.9770826021909286,0.910347639858317,0.289932514882385,0.6973013000222904,0.9525374824270124,0.7317259017112403,0.8150186472618298,0.744690132240868,0.7922533776393246,0.9076809528758631,0.6994298852550779
KHDR2,0.8561174869073701,0.764395883979956,0.2808108221094222,0.1794775670892313,0.9653290415509456,0.9478115474100172,0.7970589721666961,0.3946866238706476,0.5508330192065083,0.9452679101157538,0.7434941999834271,0.8293888010169826
BRI3B,0.6183039475737361,0.4624655388316503,0.4165960965954268,0.2021521415487652,0.5710757254789894,0.6880140910127024,0.9628160862945532,0.7239427001414842,0.3340610689725365,0.5828063956966884,0.9331061210546684,0.95198747463448
TICN3,0.3084347095215374,0.1616160031364099,0.1494069596994502,0.003317572078678,0.2884690198253996,0.5338628677378708,0.7963846025681682,0.3795085749425049,0.7287841120362103,0.5117183364736897,0.6273754069112637,0.81040372144219
AL1A1,0.4635846334763741,0.8600468118440595,0.7352467371924151,0.8746345080264006,0.663202923388118,0.6593210041045446,0.8987924545841771,0.933621723852844,0.9152709712645544,0.9993520160032154,0.8623924437655588,0.8416972270761355
FRIL,0.7835246345162202,0.7281472090450046,0.8459011615699938,0.8397693934718997,0.9983201227112092,0.7755701262401263,0.9640036370665638,0.904483537800946,0.9933098052454986,0.6889013727214125,0.4656646124305826,0.5923453746337053
CO4A,0.8798734250239139,0.5332773002131086,0.4603998177869133,0.3189393242811154,0.785758041684462,0.9426926965417024,0.4711626838859675,0.2323079662260647,0.0404884098618322,0.7007024919035306,0.95435695466564,0.7968159352948552
CO4B,0.8798734250239139,0.6318024607838928,0.5077941425784712,0.2929408969896568,0.785758041684462,0.9384952450865603,0.5442911085040287,0.2344209036131011,0.0404884098618322,0.7425479629674531,0.9317001661337246,0.8010406996123135
JMJD7,0.8234200232536939,0.9117313411545928,0.8319299129915444,0.975320037123924,0.9687604031397272,0.6798433424718499,0.7088292081233258,0.9640036370665638,0.2648078434354939,0.9563132519191396,0.9237680814538848,0.6041543430650942
