,A4,A4,A4,A4,APOE,APOE,APOE,APOE,TAU,TAU,TAU,TAU
,CAUD,HIPP,IPL,SMTG,CAUD,HIPP,IPL,SMTG,CAUD,HIPP,IPL,SMTG
,R_S,R_S,R_S,R_S,R_S,R_S,R_S,R_S,R_S,R_S,R_S,R_S
ANM5,-0.0331546121019805,-0.0857142857142857,0.1014334172228909,0.2622825254404202,0.3526644052959842,0.005574912891986,0.0631360105044315,0.1874384505963453,-0.0556953714848451,-0.0918118466898954,0.2574679943100995,0.1244118612539665
A4,1.0,1.0,1.0,1.0,-0.1690556953714848,0.2987804878048781,0.6010504431557063,0.525987525987526,-0.1044972097603676,0.5527874564459931,0.3270598533756428,0.1384177699967173
IF5,0.0106138527191158,0.0188153310104529,-0.0699201225517014,-0.3620746252325199,0.1719006455848561,-0.0341463414634146,-0.1557063136010504,-0.1150016413174307,0.1635846372688478,0.1348432055749129,-0.076047707626655,0.1826239194660247
KHDR2,0.1042783674362621,-0.1482578397212544,0.3660137870664186,0.420724368092789,0.0252762884341831,-0.0369337979094076,-0.1230988073093336,0.3174307911150016,-0.2419301892986103,0.0468641114982578,0.1644600065652697,0.1222234380129116
BRI3B,0.2226720647773279,-0.2782229965156795,-0.3073640442061494,-0.4073749863223547,0.2323011270379691,0.1702090592334495,-0.0281212386475544,-0.1587701061385271,0.3294671189408031,0.2207317073170732,-0.0581026370500054,-0.0443155706313601
A4,1.0,1.0,1.0,1.0,-0.1690556953714848,0.2987804878048781,0.6010504431557063,0.525987525987526,-0.1044972097603676,0.5527874564459931,0.3270598533756428,0.1384177699967173
TICN3,0.5128998968008256,0.5091575091575092,0.4408578619104935,0.6509464930517562,-0.564499484004128,0.2973137973137973,0.1235364919575445,0.3279352226720647,-0.2569659442724458,0.3064713064713065,0.2126053178684757,0.1327278695699748
AL1A1,-0.288543604333078,0.0980836236933798,-0.1686180107232739,0.0922420396104606,0.190502243133822,0.1843205574912892,-0.0699201225517014,0.0486924171134697,0.0694824379034905,0.0012195121951219,-0.1036218404639457,0.1156581682897472
