,Comparison,Region,Protein,Q-value,log2FC
0,RAD vs NC,HIPP,ANM5,0.0411695200507197,-0.0178180863724133
1,RAD vs NC,HIPP,A4,0.0353441275979833,0.0884680089795715
2,RAD vs NC,HIPP,IF5,0.0384320539911336,-0.0150486750722826
3,RAD vs NC,IPL,KHDR2,0.0343740487610899,0.0750287650184029
4,RAD vs NC,IPL,BRI3B,0.0414362339399381,-0.0530592936527751
5,RAD vs NC,IPL,DCAKD,0.0393832541365441,0.0362987155571676
6,RAD vs NC,IPL,SMOC1,0.0288967060965928,0.1394984369303324
7,RAD vs NC,SMTG,A4,0.0384320539911336,0.0707546749467482
8,RAD vs NC,SMTG,TICN3,0.0360982869621696,0.1209664520125928
9,RAD vs ADD,HIPP,AL1A1,0.0467920359102677,-0.0181623208878942
10,RAD vs ADD,HIPP,FRIL,0.0292401712904239,-0.0359457788277728
11,RAD vs ADD,HIPP,CO4A,0.0204809452479805,-0.0640357808213512
12,RAD vs ADD,HIPP,CO4B,0.0271633094768009,-0.0636294765380593
13,RAD vs ADD,HIPP,JMJD7,0.0384320539911336,-0.0682334222360907
14,RAD vs ADD,HIPP,CAPG,0.0424855094053081,-0.038108580074426
15,RAD vs ADD,HIPP,IF5,0.0292401712904239,-0.0153647899370525
16,RAD vs ADD,HIPP,PDK2,0.0411695200507197,0.047143661127543
17,RAD vs ADD,HIPP,SERC,0.043202626517887,-0.0235407050947964
18,RAD vs ADD,IPL,AL1L1,0.0282897007065719,-0.0202032607257569
19,RAD vs ADD,IPL,EGFR,0.0430614533968937,-0.0389050979568779
20,RAD vs ADD,IPL,HSPB1,0.0120955809535781,-0.0428564255653176
21,RAD vs ADD,IPL,K2C8,0.0384320539911336,-0.0477252611552314
22,RAD vs ADD,IPL,K2C7,0.0292401712904239,-0.0497796544487316
23,RAD vs ADD,IPL,CLUS,0.0411695200507197,-0.021362739362245
24,RAD vs ADD,IPL,GFAP,0.0292401712904239,-0.0413146007896427
25,RAD vs ADD,IPL,FAAA,0.0273265111309927,-0.0310959565650508
26,RAD vs ADD,IPL,MK01,0.0444224665339573,-0.0139252775833114
27,RAD vs ADD,IPL,CAPG,0.0167442932378544,-0.0368045382130217
28,RAD vs ADD,IPL,PRDX1,0.0319108472090742,-0.0340912455500728
29,RAD vs ADD,IPL,PA1B3,0.0126727371894793,-0.0187080584066059
30,RAD vs ADD,IPL,KS6A2,0.0393832541365441,-0.018677952999119
31,RAD vs ADD,IPL,AL1L2,0.0170776475327343,-0.0226317294119002
32,RAD vs ADD,IPL,PLCD3,0.0384320539911336,-0.028962788970535
33,RAD vs ADD,IPL,WIPF2,0.0397078583043404,0.0303671507060503
34,RAD vs ADD,IPL,PBIP1,0.0288967060965928,-0.0321393586766829
35,RAD vs ADD,IPL,CMBL,0.0411695200507197,-0.0286375538444589
36,RAD vs ADD,IPL,CD036,0.0444224665339573,-0.0161917542225413
37,RAD vs ADD,IPL,RBM4,0.0424855094053081,-0.0425970728425806
38,RAD vs ADD,SMTG,A4,0.0384320539911336,-0.0574301842505047
39,RAD vs ADD,SMTG,ICAM1,0.0384320539911336,-0.0700303120110987
40,RAD vs ADD,SMTG,IRGQ,0.0292401712904239,0.0304056777872645
41,RAD vs ADD,SMTG,WLS,0.0397078583043404,-0.0410006364220247
42,ADD vs NC,CAUD,A4,1.207478771440886e-07,0.1316517499262541
43,ADD vs NC,CAUD,MT3,0.0414362339399381,-0.0221217561998967
44,ADD vs NC,CAUD,PA1B3,0.0292401712904239,0.0189761893806235
45,ADD vs NC,HIPP,CPLX1,0.0384320539911336,-0.0435984812135403
46,ADD vs NC,HIPP,A4,1.922155694827983e-06,0.1221112369185029
47,ADD vs NC,HIPP,S10A6,0.0384320539911336,0.0518180125113207
48,ADD vs NC,HIPP,QCR6,0.0411695200507197,-0.0295799003691348
49,ADD vs NC,HIPP,MK,0.0011922131232391,0.2943215641693069
