,Entry,Protein,Protein name,Gene names,Gene names (primary),yourlist
1,A0A024QZ33,A0A024QZ33,Coiled-coil domain-containing protein 55 (Nuclear speckle splicing regulatory protein 1),NSRP1 CCDC55 hCG_1646942,NSRP1,A0A024QZ33
2,A0A024QZP7,A0A024QZP7,"Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a (Cyclin-dependent kinase 1)",CDK1 CDC2 hCG_40242,CDK1,A0A024QZP7
3,A0A024R4E5,A0A024R4E5,"High density lipoprotein binding protein (Vigilin), isoform CRA_a (Vigilin)",HDLBP hCG_33048,HDLBP,A0A024R4E5
4,A0A024R571,A0A024R571,"EH domain-containing protein 1 (EH-domain containing 1, isoform CRA_a)",EHD1 hCG_23386,EHD1,A0A024R571
5,A0A024R7W5,A0A024R7W5,"YTH domain family, member 3, isoform CRA_a (YTH domain-containing family protein 3)",YTHDF3 hCG_41077,YTHDF3,A0A024R7W5
6,A0A024RAC6,A0A024RAC6,Elongin-A,ELOA TCEB3 hCG_37551,ELOA,A0A024RAC6
7,A0A024RBG1,NUD4B,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B (DIPP-2B) (EC 3.6.1.52) (Nucleoside diphosphate-linked moiety X motif 4B) (Nudix motif 4B) (Nudix hydrolase 4B),NUDT4B,NUDT4B,A0A024RBG1
8,A0A067XG54,A0A067XG54,Phospholipid-transporting ATPase (EC 7.6.2.1),ATP11C,ATP11C,A0A067XG54
9,A0A075B6E5,A0A075B6E5,Protein enabled homolog (Fragment),ENAH,ENAH,A0A075B6E5
10,A0A075B6F6,A0A075B6F6,Minor histocompatibility antigen H13 (Fragment),HM13,HM13,A0A075B6F6
11,A0A075B6G6,A0A075B6G6,"Filamin A interacting protein 1, isoform CRA_c (Filamin-A-interacting protein 1)",FILIP1 hCG_17988,FILIP1,A0A075B6G6
12,P01701,LV151,Immunoglobulin lambda variable 1-51 (Ig lambda chain V-I region BL2) (Ig lambda chain V-I region EPS) (Ig lambda chain V-I region NEW) (Ig lambda chain V-I region NIG-64),IGLV1-51,IGLV1-51,A0A075B6I5
13,P01718,LV327,Immunoglobulin lambda variable 3-27 (Ig lambda chain V-IV region Kern),IGLV3-27,IGLV3-27,A0A075B6J3
14,A0A075B6J9,LV218,Immunoglobulin lambda variable 2-18,IGLV2-18,IGLV2-18,A0A075B6J9
15,A0A075B6K4,LV310,Immunoglobulin lambda variable 3-10,IGLV3-10,IGLV3-10,A0A075B6K4
16,A0A075B6K5,LV39,Immunoglobulin lambda variable 3-9,IGLV3-9,IGLV3-9,A0A075B6K5
17,P0DOY3,IGLC3,Immunoglobulin lambda constant 3 (Ig lambda chain C region DOT) (Ig lambda chain C region NEWM) (Ig lambda-3 chain C regions),IGLC3,IGLC3,A0A075B6L0
